SESSION_DATE,BROWSER,SESSIONS,VISITORS
2026-03-01,Chrome,4787,4688
2026-03-01,,345,344
2026-03-01,Mobile Safari,236,208
2026-03-01,Safari,156,136
2026-03-01,Firefox,117,109
2026-03-01,Chrome Mobile,117,115
2026-03-01,Microsoft Edge,91,85
2026-03-01,Mozilla,46,46
2026-03-01,Naver,33,33
2026-03-01,Chrome Webview,31,31
2026-03-01,Facebook,28,28
2026-03-01,WeChat,27,27
2026-03-01,Opera,25,24
2026-03-01,Chrome iOS,21,19
2026-03-01,Microsoft Start,20,20
2026-03-01,OkHttp,17,14
2026-03-01,Daum,14,14
2026-03-01,UC Browser,9,5
2026-03-01,QQ Browser,9,9
2026-03-01,Firefox Mobile,6,4
2026-03-01,Yandex Browser,6,6
2026-03-01,Huawei Browser Mobile,5,5
2026-03-01,Sogou Explorer,5,5
2026-03-01,Samsung Internet,5,4
2026-03-01,Chrome Mobile iOS,3,3
2026-03-01,Headless Chrome,3,3
2026-03-01,OBS Studio,3,3
2026-03-01,Opera Mobile,3,3
2026-03-01,Avast Secure Browser,3,3
2026-03-01,vivo Browser,3,3
2026-03-01,Quark,2,2
2026-03-01,Baidu Box App,1,1
2026-03-01,Firefox iOS,1,1
2026-03-01,Norton Private Browser,1,1
2026-03-01,AVG Secure Browser,1,1
2026-03-01,LinkedIn,1,1
2026-03-01,Google Search App,1,1
2026-03-01,Samsung Browser,1,1
2026-03-01,MIUI Browser,1,1
2026-03-01,Smart Lenovo Browser,1,1
2026-03-01,aweme,1,1
2026-03-02,Chrome,6390,6135
2026-03-02,,472,463
2026-03-02,Safari,284,246
2026-03-02,Mobile Safari,258,223
2026-03-02,Microsoft Edge,179,160
2026-03-02,Firefox,177,157
2026-03-02,Chrome Mobile,96,94
2026-03-02,Mozilla,44,44
2026-03-02,Chrome Webview,34,34
2026-03-02,Chrome iOS,32,29
2026-03-02,Opera,30,25
2026-03-02,WeChat,21,21
2026-03-02,OkHttp,17,15
2026-03-02,Naver,16,16
2026-03-02,Facebook,13,13
2026-03-02,Microsoft Start,13,13
2026-03-02,Quark,12,12
2026-03-02,Headless Chrome,10,10
2026-03-02,Chrome Mobile iOS,9,9
2026-03-02,Daum,9,9
2026-03-02,Samsung Internet,8,8
2026-03-02,QQ Browser,7,5
2026-03-02,UC Browser,7,4
2026-03-02,Firefox Mobile,7,7
2026-03-02,Huawei Browser Mobile,5,5
2026-03-02,Sogou Explorer,4,4
2026-03-02,vivo Browser,4,4
2026-03-02,Google Search App,4,4
2026-03-02,LinkedIn,3,3
2026-03-02,Android Mobile,3,3
2026-03-02,NewsArticle App,3,3
2026-03-02,Opera Mobile,2,2
2026-03-02,curl,2,2
2026-03-02,Brave,2,2
2026-03-02,Avast Secure Browser,2,2
2026-03-02,OBS Studio,2,2
2026-03-02,AVG Secure Browser,2,2
2026-03-02,Aloha Browser,1,1
2026-03-02,Maxthon,1,1
2026-03-02,Facebook Mobile,1,1
2026-03-02,CCleaner,1,1
2026-03-02,Firefox iOS,1,1
2026-03-02,QtWebEngine,1,1
2026-03-02,Baidu Box App,1,1
2026-03-03,Chrome,6284,6025
2026-03-03,,476,466
2026-03-03,Safari,276,235
2026-03-03,Mobile Safari,256,223
2026-03-03,Microsoft Edge,174,149
2026-03-03,Firefox,163,144
2026-03-03,Chrome Mobile,136,129
2026-03-03,Mozilla,73,73
2026-03-03,Chrome iOS,37,32
2026-03-03,Chrome Webview,36,36
2026-03-03,WeChat,35,35
2026-03-03,Opera,35,32
2026-03-03,Daum,34,34
2026-03-03,Naver,26,26
2026-03-03,Microsoft Start,25,25
2026-03-03,Facebook,21,21
2026-03-03,OkHttp,17,13
2026-03-03,UC Browser,14,12
2026-03-03,Firefox Mobile,9,8
2026-03-03,Chrome Mobile iOS,8,8
2026-03-03,Headless Chrome,8,8
2026-03-03,Yandex Browser,5,4
2026-03-03,Samsung Internet,4,4
2026-03-03,Sogou Explorer,4,4
2026-03-03,QQ Browser,3,3
2026-03-03,Opera Mobile,3,3
2026-03-03,Firefox iOS,3,3
2026-03-03,Samsung Browser,3,3
2026-03-03,Quark,2,2
2026-03-03,Smart Lenovo Browser,2,2
2026-03-03,Huawei Browser Mobile,2,2
2026-03-03,Google Search App,2,2
2026-03-03,Norton Private Browser,2,2
2026-03-03,NewsArticle App,1,1
2026-03-03,Brave,1,1
2026-03-03,Aloha Browser,1,1
2026-03-03,Zalo,1,1
2026-03-03,Avast Secure Browser,1,1
2026-03-03,Pinterest,1,1
2026-03-03,HeyTapBrowser,1,1
2026-03-03,OBS Studio,1,1
2026-03-03,LinkedIn,1,1
2026-03-03,MIUI Browser,1,1
2026-03-03,vivo Browser,1,1
2026-03-03,curl,1,1
2026-03-03,Android Mobile,1,1
2026-03-03,Facebook Mobile,1,1
2026-03-04,Chrome,5826,5549
2026-03-04,,344,337
2026-03-04,Mobile Safari,277,257
2026-03-04,Safari,263,226
2026-03-04,Firefox,175,160
2026-03-04,Microsoft Edge,173,158
2026-03-04,Chrome Mobile,91,87
2026-03-04,Mozilla,63,63
2026-03-04,Opera,35,26
2026-03-04,Chrome iOS,31,24
2026-03-04,WeChat,25,24
2026-03-04,Chrome Webview,24,24
2026-03-04,Facebook,19,19
2026-03-04,Naver,19,19
2026-03-04,OkHttp,18,17
2026-03-04,Microsoft Start,14,14
2026-03-04,Daum,10,10
2026-03-04,Chrome Mobile iOS,9,9
2026-03-04,Firefox Mobile,7,6
2026-03-04,Headless Chrome,7,7
2026-03-04,Yandex Browser,5,5
2026-03-04,NewsArticle App,4,4
2026-03-04,Sogou Explorer,4,4
2026-03-04,UC Browser,4,4
2026-03-04,Samsung Internet,3,3
2026-03-04,aweme,3,3
2026-03-04,OBS Studio,2,2
2026-03-04,Opera Mobile,2,2
2026-03-04,MIUI Browser,2,2
2026-03-04,LinkedIn,2,2
2026-03-04,curl,2,2
2026-03-04,Google Search App,1,1
2026-03-04,Whale Browser,1,1
2026-03-04,Android Mobile,1,1
2026-03-04,Samsung Browser,1,1
2026-03-04,Instagram,1,1
2026-03-04,Quark,1,1
2026-03-04,Smart Lenovo Browser,1,1
2026-03-04,QQ Browser,1,1
2026-03-04,Firefox iOS,1,1
2026-03-04,Facebook Mobile,1,1
2026-03-04,Huawei Browser Mobile,1,1
2026-03-05,Chrome,14744,14474
2026-03-05,,469,461
2026-03-05,Safari,280,244
2026-03-05,Mobile Safari,231,220
2026-03-05,Microsoft Edge,173,152
2026-03-05,Firefox,150,139
2026-03-05,Chrome Mobile,107,101
2026-03-05,Chrome iOS,67,59
2026-03-05,Opera,34,29
2026-03-05,Mozilla,31,31
2026-03-05,Chrome Webview,25,24
2026-03-05,OkHttp,14,11
2026-03-05,UC Browser,11,10
2026-03-05,Samsung Internet,10,10
2026-03-05,Yandex Browser,10,9
2026-03-05,Facebook,8,8
2026-03-05,WeChat,6,6
2026-03-05,NewsArticle App,6,6
2026-03-05,Sogou Explorer,5,5
2026-03-05,LinkedIn,4,4
2026-03-05,Chrome Mobile iOS,3,3
2026-03-05,Huawei Browser Mobile,3,3
2026-03-05,QQ Browser,3,3
2026-03-05,Daum,3,3
2026-03-05,Headless Chrome,3,3
2026-03-05,Microsoft Start,2,2
2026-03-05,Google Search App,2,2
2026-03-05,Firefox iOS,2,1
2026-03-05,Whale Browser,2,1
2026-03-05,Android Mobile,1,1
2026-03-05,Samsung Browser,1,1
2026-03-05,Brave,1,1
2026-03-05,HeyTapBrowser,1,1
2026-03-05,Firefox Mobile,1,1
2026-03-05,vivo Browser,1,1
2026-03-05,JioSphere,1,1
2026-03-05,Facebook Mobile,1,1
2026-03-05,Naver,1,1
2026-03-06,Chrome,9750,9503
2026-03-06,,317,309
2026-03-06,Mobile Safari,286,260
2026-03-06,Safari,256,219
2026-03-06,Microsoft Edge,158,144
2026-03-06,Firefox,157,140
2026-03-06,Chrome Mobile,138,123
2026-03-06,Chrome iOS,63,59
2026-03-06,Opera,43,37
2026-03-06,Mozilla,37,37
2026-03-06,Chrome Webview,31,30
2026-03-06,OkHttp,20,18
2026-03-06,WeChat,12,12
2026-03-06,Naver,9,9
2026-03-06,Headless Chrome,9,9
2026-03-06,QQ Browser,7,7
2026-03-06,Chrome Mobile iOS,7,7
2026-03-06,Firefox Mobile,7,7
2026-03-06,Yandex Browser,6,6
2026-03-06,Sogou Explorer,6,4
2026-03-06,Facebook,6,5
2026-03-06,Microsoft Start,5,5
2026-03-06,Quark,5,5
2026-03-06,Daum,5,5
2026-03-06,aweme,3,3
2026-03-06,Samsung Internet,3,3
2026-03-06,NewsArticle App,3,3
2026-03-06,Brave,3,3
2026-03-06,Norton Private Browser,2,2
2026-03-06,Google Search App,2,2
2026-03-06,CCleaner,2,2
2026-03-06,MIUI Browser,2,2
2026-03-06,Huawei Browser Mobile,2,1
2026-03-06,Whale Browser,2,2
2026-03-06,Android Mobile,2,2
2026-03-06,UC Browser,1,1
2026-03-06,Facebook Mobile,1,1
2026-03-06,Smart Lenovo Browser,1,1
2026-03-06,Opera GX,1,1
2026-03-06,LinkedIn,1,1
2026-03-06,Samsung Browser,1,1
2026-03-06,HeyTapBrowser,1,1
2026-03-07,Chrome,5482,5371
2026-03-07,,396,388
2026-03-07,Mobile Safari,224,203
2026-03-07,Safari,152,145
2026-03-07,Chrome Mobile,120,117
2026-03-07,Microsoft Edge,110,104
2026-03-07,Firefox,105,99
2026-03-07,Mozilla,42,42
2026-03-07,Chrome iOS,30,25
2026-03-07,Chrome Webview,26,25
2026-03-07,OkHttp,22,18
2026-03-07,Opera,18,17
2026-03-07,Facebook,14,14
2026-03-07,WeChat,14,14
2026-03-07,Daum,13,13
2026-03-07,Samsung Internet,11,10
2026-03-07,Naver,8,8
2026-03-07,Firefox Mobile,6,5
2026-03-07,Sogou Explorer,6,6
2026-03-07,Line,6,5
2026-03-07,Chrome Mobile iOS,4,4
2026-03-07,Huawei Browser Mobile,4,4
2026-03-07,Microsoft Start,4,4
2026-03-07,Headless Chrome,3,3
2026-03-07,HeyTapBrowser,3,3
2026-03-07,QQ Browser,3,3
2026-03-07,UC Browser,3,3
2026-03-07,NewsArticle App,3,3
2026-03-07,Facebook Mobile,2,2
2026-03-07,Norton Private Browser,2,2
2026-03-07,Avast Secure Browser,2,2
2026-03-07,Android Mobile,2,2
2026-03-07,Samsung Browser,2,2
2026-03-07,OBS Studio,2,2
2026-03-07,Yandex Browser,1,1
2026-03-07,Whale Browser,1,1
2026-03-07,Opera Mobile,1,1
2026-03-07,SearchCraft,1,1
2026-03-07,LinkedIn,1,1
2026-03-07,Baidu Box App,1,1
2026-03-07,Aloha Browser,1,1
2026-03-07,JioSphere,1,1
2026-03-07,Google Search App,1,1
2026-03-07,vivo Browser,1,1
2026-03-08,Chrome,7438,7325
2026-03-08,,415,411
2026-03-08,Mobile Safari,222,208
2026-03-08,Safari,171,162
2026-03-08,Firefox,129,115
2026-03-08,Chrome Mobile,114,113
2026-03-08,Microsoft Edge,110,101
2026-03-08,Opera,30,28
2026-03-08,Chrome Webview,29,28
2026-03-08,Mozilla,21,21
2026-03-08,Chrome iOS,20,14
2026-03-08,OkHttp,19,15
2026-03-08,Naver,10,10
2026-03-08,Firefox Mobile,9,7
2026-03-08,Samsung Internet,9,8
2026-03-08,WeChat,8,8
2026-03-08,QQ Browser,8,8
2026-03-08,Quark,7,7
2026-03-08,vivo Browser,6,6
2026-03-08,Daum,6,6
2026-03-08,Sogou Explorer,5,5
2026-03-08,OBS Studio,4,4
2026-03-08,UC Browser,4,4
2026-03-08,Google Search App,4,4
2026-03-08,Samsung Browser,4,3
2026-03-08,Chrome Mobile iOS,4,4
2026-03-08,MIUI Browser,4,4
2026-03-08,Facebook,3,3
2026-03-08,NewsArticle App,3,3
2026-03-08,Opera Mobile,3,3
2026-03-08,Headless Chrome,2,2
2026-03-08,Facebook Mobile,2,2
2026-03-08,Norton Private Browser,2,2
2026-03-08,Yandex Browser,2,2
2026-03-08,HeyTapBrowser,2,2
2026-03-08,Microsoft Start,1,1
2026-03-08,Mobile Silk,1,1
2026-03-08,LinkedIn,1,1
2026-03-08,aweme,1,1
2026-03-08,Android Mobile,1,1
2026-03-08,Avast Secure Browser,1,1
2026-03-08,Huawei Browser Mobile,1,1
2026-03-08,Opera GX,1,1
2026-03-09,Chrome,6707,6391
2026-03-09,,433,431
2026-03-09,Safari,241,214
2026-03-09,Mobile Safari,233,208
2026-03-09,Microsoft Edge,153,134
2026-03-09,Firefox,139,129
2026-03-09,Chrome Mobile,111,107
2026-03-09,Chrome iOS,56,45
2026-03-09,Chrome Webview,37,35
2026-03-09,Mozilla,35,35
2026-03-09,Opera,31,24
2026-03-09,Headless Chrome,22,21
2026-03-09,OkHttp,13,12
2026-03-09,WeChat,12,12
2026-03-09,Facebook,12,12
2026-03-09,Naver,8,8
2026-03-09,Microsoft Start,8,8
2026-03-09,Firefox Mobile,7,6
2026-03-09,Daum,6,6
2026-03-09,Chrome Mobile iOS,6,6
2026-03-09,Samsung Internet,6,6
2026-03-09,Google Search App,6,6
2026-03-09,QQ Browser,5,5
2026-03-09,Quark,5,5
2026-03-09,Facebook Mobile,4,4
2026-03-09,NewsArticle App,4,4
2026-03-09,Yandex Browser,3,3
2026-03-09,vivo Browser,3,3
2026-03-09,UC Browser,3,3
2026-03-09,Sogou Explorer,3,3
2026-03-09,Line,2,2
2026-03-09,OBS Studio,2,2
2026-03-09,CCleaner,2,2
2026-03-09,LinkedIn,2,2
2026-03-09,Whale Browser,2,1
2026-03-09,Samsung Browser,2,2
2026-03-09,Opera Mobile,2,2
2026-03-09,MIUI Browser,1,1
2026-03-09,aweme,1,1
2026-03-09,Android Mobile,1,1
2026-03-09,Firefox iOS,1,1
2026-03-09,Norton Private Browser,1,1
2026-03-09,Lenovo Browser,1,1
2026-03-09,Huawei Browser,1,1
2026-03-09,HeyTapBrowser,1,1
2026-03-09,Ecosia,1,1
2026-03-10,Chrome,6304,6011
2026-03-10,,508,501
2026-03-10,Safari,289,249
2026-03-10,Mobile Safari,263,248
2026-03-10,Microsoft Edge,185,164
2026-03-10,Firefox,135,124
2026-03-10,Chrome Mobile,114,107
2026-03-10,Naver,48,48
2026-03-10,Opera,48,42
2026-03-10,Mozilla,48,48
2026-03-10,Chrome Webview,41,41
2026-03-10,WeChat,36,36
2026-03-10,Facebook,29,29
2026-03-10,Chrome iOS,27,24
2026-03-10,Microsoft Start,24,24
2026-03-10,Daum,21,21
2026-03-10,Headless Chrome,21,21
2026-03-10,OkHttp,18,15
2026-03-10,Firefox Mobile,12,10
2026-03-10,LinkedIn,10,10
2026-03-10,QQ Browser,8,8
2026-03-10,Quark,8,8
2026-03-10,Chrome Mobile iOS,7,7
2026-03-10,UC Browser,7,6
2026-03-10,Samsung Internet,7,7
2026-03-10,Avast Secure Browser,6,5
2026-03-10,Google Search App,5,5
2026-03-10,Yandex Browser,4,3
2026-03-10,NewsArticle App,4,4
2026-03-10,Whale Browser,4,2
2026-03-10,OBS Studio,2,2
2026-03-10,Sogou Explorer,2,2
2026-03-10,Huawei Browser Mobile,2,2
2026-03-10,Facebook Mobile,2,1
2026-03-10,HeyTapBrowser,1,1
2026-03-10,Samsung Browser,1,1
2026-03-10,MIUI Browser,1,1
2026-03-10,Norton Private Browser,1,1
2026-03-10,Microsoft Bing,1,1
2026-03-10,Baidu Box App,1,1
2026-03-10,Opera Mobile,1,1
2026-03-11,Chrome,7198,6853
2026-03-11,,450,444
2026-03-11,Mobile Safari,286,264
2026-03-11,Safari,285,251
2026-03-11,Microsoft Edge,164,142
2026-03-11,Firefox,130,120
2026-03-11,Chrome Mobile,107,106
2026-03-11,Mozilla,70,70
2026-03-11,Chrome Webview,42,41
2026-03-11,Opera,41,36
2026-03-11,Naver,36,36
2026-03-11,WeChat,34,34
2026-03-11,Facebook,33,33
2026-03-11,OkHttp,23,21
2026-03-11,Daum,19,19
2026-03-11,Microsoft Start,17,17
2026-03-11,Chrome iOS,17,16
2026-03-11,Samsung Internet,10,10
2026-03-11,Firefox Mobile,9,7
2026-03-11,NewsArticle App,6,6
2026-03-11,Sogou Explorer,6,6
2026-03-11,Chrome Mobile iOS,5,5
2026-03-11,QQ Browser,4,4
2026-03-11,UC Browser,4,4
2026-03-11,Brave,4,3
2026-03-11,Samsung Browser,3,3
2026-03-11,LinkedIn,3,3
2026-03-11,Headless Chrome,3,3
2026-03-11,Quark,3,3
2026-03-11,Google Search App,3,3
2026-03-11,Opera Touch,2,2
2026-03-11,HeyTapBrowser,2,2
2026-03-11,Huawei Browser Mobile,2,2
2026-03-11,Visual Studio Code,2,2
2026-03-11,OBS Studio,2,2
2026-03-11,Norton Private Browser,1,1
2026-03-11,Firefox Mobile iOS,1,1
2026-03-11,Lenovo Browser,1,1
2026-03-11,Threads,1,1
2026-03-11,vivo Browser,1,1
2026-03-11,Opera Mobile,1,1
2026-03-11,Oculus Browser,1,1
2026-03-11,Yandex Browser,1,1
2026-03-11,Android Mobile,1,1
2026-03-11,Facebook Mobile,1,1
2026-03-12,Chrome,7044,6673
2026-03-12,,631,619
2026-03-12,Mobile Safari,266,238
2026-03-12,Safari,250,226
2026-03-12,Microsoft Edge,187,175
2026-03-12,Firefox,136,124
2026-03-12,Chrome Mobile,134,128
2026-03-12,Mozilla,43,43
2026-03-12,Chrome Webview,43,42
2026-03-12,WeChat,40,40
2026-03-12,Facebook,35,35
2026-03-12,Opera,34,30
2026-03-12,Naver,32,32
2026-03-12,Chrome iOS,32,26
2026-03-12,OkHttp,25,17
2026-03-12,Microsoft Start,24,24
2026-03-12,Daum,18,18
2026-03-12,Headless Chrome,9,9
2026-03-12,Facebook Mobile,6,6
2026-03-12,Chrome Mobile iOS,6,6
2026-03-12,UC Browser,6,6
2026-03-12,Huawei Browser Mobile,6,6
2026-03-12,Google Search App,4,4
2026-03-12,Opera Mobile,4,4
2026-03-12,QQ Browser,4,4
2026-03-12,Quark,4,4
2026-03-12,Samsung Internet,4,4
2026-03-12,LinkedIn,3,3
2026-03-12,Samsung Browser,2,2
2026-03-12,NewsArticle App,2,2
2026-03-12,vivo Browser,2,2
2026-03-12,Sogou Explorer,1,1
2026-03-12,Android Mobile,1,1
2026-03-12,aweme,1,1
