month_start,all_visitor_signup_rate,engaged_visitor_signup_cvr
2024-05-01,0.05282780285892104,0.1583123142325956
2024-06-01,0.06499281191775852,0.17231652719816581
2024-07-01,0.07173747138132791,0.18548418670571376
2024-08-01,0.07437211654316055,0.19409867049009386
2024-09-01,0.07695267299236287,0.2050126008647199
2024-10-01,0.06311039932873723,0.2124759776991559
2024-11-01,0.06016363335574026,0.20825782507212548
2024-12-01,0.0631546645338849,0.21468643476118116
2025-01-01,0.06270433015190759,0.21058992756768719
2025-02-01,0.06598394601727994,0.21480284314857265
2025-03-01,0.06059007965964613,0.20975437627529495
2025-04-01,0.058677706195037115,0.21014124045968946
2025-05-01,0.07561380408091958,0.2097384999192347
2025-06-01,0.06974816977607935,0.19346847383340082
2025-07-01,0.04537822524352436,0.18341255115268282
2025-08-01,0.041928378907873334,0.15346421703371324
2025-09-01,0.06935855789137058,0.1900965983005342
2025-10-01,0.06527419100619551,0.20222935917662083
2025-11-01,0.050441375998749295,0.19411259131929523
2025-12-01,0.032054517920242304,0.17865623870734604
2026-01-01,0.03356390977443609,0.1744864247549386
2026-02-01,0.03469806595241408,0.17730181301102027
2026-03-01,0.026721578746954636,0.18416928898118304
2026-04-01,0.03179112864982755,0.1911400831480714
