month_start,rate_reported,rate_corrected,signed_up_visitors,censored_flag
2024-05-01,0.03293802285631222,0.03293802285631222,26738.0,0
2024-06-01,0.03787932988961335,0.03787932988961335,23825.0,0
2024-07-01,0.041519216309017386,0.041519216309017386,23688.0,0
2024-08-01,0.04131308542476566,0.04131308542476566,23826.0,0
2024-09-01,0.043430345895007,0.043430345895007,26601.0,0
2024-10-01,0.03845336105898214,0.03845336105898214,31289.0,0
2024-11-01,0.03749673714434874,0.03749673714434874,28730.0,0
2024-12-01,0.03961970419753311,0.03961970419753311,26137.0,0
2025-01-01,0.03901612872704795,0.03901612872704795,24742.0,0
2025-02-01,0.041377513822948714,0.041377513822948714,26050.0,0
2025-03-01,0.03868906550003325,0.03868906550003325,27344.0,0
2025-04-01,0.036913072288228314,0.036913072288228314,23954.0,0
2025-05-01,0.04285876704943465,0.04285876704943465,23372.0,0
2025-06-01,0.036599351557905786,0.036599351557905786,16244.0,0
2025-07-01,0.02760536116312833,0.02760536116312833,14432.0,0
2025-08-01,0.027677301281875434,0.027677301281875434,14125.0,0
2025-09-01,0.04297728903499257,0.04297728903499257,20604.0,0
2025-10-01,0.04077301161751564,0.04077301161751564,21535.0,0
2025-11-01,0.03410395022952404,0.03410395022952404,18068.0,0
2025-12-01,0.023956748749206086,0.023956748749206086,13843.0,0
2026-01-01,0.024408798883212818,0.024408798883212818,12834.0,0
2026-02-01,0.02501133554681215,0.02501133554681215,11970.0,0
2026-03-01,0.0209627858347484,0.027590787547500398,14456.0,0
2026-04-01,0.025411700269512973,0.02857389632433569,15218.0,0
