month_start,rate_reported,rate_corrected,conversions,censored_flag
2024-05-01,0.0027569487303622836,0.0027569487303622836,2238.0,0
2024-06-01,0.003114611007502731,0.003114611007502731,1959.0,0
2024-07-01,0.0034038465920344383,0.0034038465920344383,1942.0,0
2024-08-01,0.003254623576860788,0.003254623576860788,1877.0,0
2024-09-01,0.0032571534927460987,0.0032571534927460987,1995.0,0
2024-10-01,0.002541517807215797,0.002541517807215797,2068.0,0
2024-11-01,0.002542417123466458,0.002542417123466458,1948.0,0
2024-12-01,0.0024768946955950988,0.0024768946955950988,1634.0,0
2025-01-01,0.002571954811810492,0.002571954811810492,1631.0,0
2025-02-01,0.00225551131011851,0.00225551131011851,1420.0,0
2025-03-01,0.0022213952909249635,0.0022213952909249635,1570.0,0
2025-04-01,0.0024887121877552277,0.0024887121877552277,1615.0,0
2025-05-01,0.002697469036869689,0.002697469036869689,1471.0,0
2025-06-01,0.002778071932461083,0.002778071932461083,1233.0,0
2025-07-01,0.0022264856148753722,0.0022264856148753722,1164.0,0
2025-08-01,0.002106414079859546,0.002106414079859546,1075.0,0
2025-09-01,0.0023820648455621005,0.0023820648455621005,1142.0,0
2025-10-01,0.0020902440132685054,0.0020902440132685054,1104.0,0
2025-11-01,0.0017893814931142788,0.0017893814931142788,948.0,0
2025-12-01,0.0013706382293846146,0.0013706382293846146,792.0,0
2026-01-01,0.0011848746847624735,0.0011848746847624735,623.0,0
2026-02-01,0.0013728026277573587,0.0013728026277573587,657.0,0
2026-03-01,0.0010817818367959537,0.0014238190032121814,746.0,0
2026-04-01,0.0010954182794585695,0.001231730581466961,656.0,0
