month_start,rate_reported,rate_corrected,mql_visitors_3component_sum,mql_pricing,mql_enterprise,mql_demo,censored_flag
2024-05-01,0.0001392025051523405,0.0001392025051523405,113.0,103.0,10.0,0.0,0
2024-06-01,0.00017011913108871474,0.00017011913108871474,107.0,98.0,9.0,0.0,0
2024-07-01,0.0002856987613293581,0.0002856987613293581,163.0,148.0,15.0,0.0,0
2024-08-01,0.00024622085664050713,0.00024622085664050713,142.0,119.0,23.0,0.0,0
2024-09-01,0.0002530620508148598,0.0002530620508148598,155.0,103.0,39.0,13.0,0
2024-10-01,0.00019786478092927626,0.00019786478092927626,161.0,112.0,32.0,17.0,0
2024-11-01,0.00014878621769772905,0.00014878621769772905,114.0,66.0,35.0,13.0,0
2024-12-01,0.00012884703128860674,0.00012884703128860674,85.0,48.0,28.0,9.0,0
2025-01-01,0.00016557649003071838,0.00016557649003071838,105.0,63.0,37.0,5.0,0
2025-02-01,0.00015566204816310842,0.00015566204816310842,98.0,61.0,31.0,6.0,0
2025-03-01,0.00015139445613310262,0.00015139445613310262,107.0,64.0,36.0,7.0,0
2025-04-01,0.00016026381890188465,0.00016026381890188465,104.0,50.0,43.0,11.0,0
2025-05-01,0.00032641025735064894,0.00032641025735064894,178.0,141.0,24.0,13.0,0
2025-06-01,0.0005790466233921317,0.0005790466233921317,257.0,206.0,26.0,25.0,0
2025-07-01,0.0004169878557068996,0.0004169878557068996,218.0,177.0,29.0,12.0,0
2025-08-01,0.0004389179105939892,0.0004389179105939892,224.0,184.0,22.0,18.0,0
2025-09-01,0.0004797503629415789,0.0004797503629415789,230.0,199.0,17.0,14.0,0
2025-10-01,0.00038434740461368354,0.00038434740461368354,203.0,162.0,17.0,24.0,0
2025-11-01,0.00033975597970524284,0.00033975597970524284,180.0,144.0,19.0,17.0,0
2025-12-01,0.0002509375546221832,0.0002509375546221832,145.0,110.0,21.0,14.0,0
2026-01-01,0.00024153946222284773,0.00024153946222284773,127.0,100.0,12.0,15.0,0
2026-02-01,0.00032805176949452864,0.00032805176949452864,157.0,130.0,11.0,16.0,0
2026-03-01,0.00016966283499346725,0.000223306733747755,117.0,105.0,11.0,1.0,0
2026-04-01,0.00014694635456151541,0.0001652321511723972,88.0,83.0,5.0,0.0,0
