month_start,rate_reported,rate_corrected,subscribing_sessions,censored_flag
2024-05-01,0.5833374478144591,0.5833374478144591,2070.0,0
2024-06-01,0.6355290625481937,0.6355290625481937,1734.0,0
2024-07-01,0.7037420928924107,0.7037420928924107,1630.0,0
2024-08-01,0.6886705634296139,0.6886705634296139,1606.0,0
2024-09-01,0.6862182407126227,0.6862182407126227,1696.0,0
2024-10-01,0.5234974259143872,0.5234974259143872,1707.0,0
2024-11-01,0.5167953667449752,0.5167953667449752,1656.0,0
2024-12-01,0.48602018805603175,0.48602018805603175,1351.0,0
2025-01-01,0.5274313251796111,0.5274313251796111,1389.0,0
2025-02-01,0.4604713224444024,0.4604713224444024,1184.0,0
2025-03-01,0.4560887454493232,0.4560887454493232,1324.0,0
2025-04-01,0.5098053102799994,0.5098053102799994,1397.0,0
2025-05-01,0.608211748568746,0.608211748568746,1269.0,0
2025-06-01,0.7008171992618845,0.7008171992618845,1052.0,0
2025-07-01,0.559582610458744,0.559582610458744,1016.0,0
2025-08-01,0.5417539277274633,0.5417539277274633,944.0,0
2025-09-01,0.6261388856442004,0.6261388856442004,986.0,0
2025-10-01,0.5483766528831735,0.5483766528831735,900.0,0
2025-11-01,0.4551691984778932,0.4551691984778932,760.0,0
2025-12-01,0.3479378990123444,0.3479378990123444,659.0,0
2026-01-01,0.312485498122839,0.312485498122839,498.0,0
2026-02-01,0.3711226683772721,0.3711226683772721,502.0,0
2026-03-01,0.27322241927601826,0.35960972853917317,585.0,0
2026-04-01,0.27061841037441264,0.3042937827647845,539.0,0
